Image,Class,Mean,Variance,Standard Deviation,Entropy,Skewness,Kurtosis,Contrast,Energy,ASM,Homogeneity,Dissimilarity,Correlation
Image802,0,6.00,500.75,22.38,0.12,4.04,16.58,103.33,0.30,0.09,0.61,3.20,0.97
Image803,0,8.07,621.70,24.93,0.23,3.44,12.16,95.93,0.44,0.19,0.67,3.00,0.98
Image804,0,13.05,863.46,29.38,0.12,2.73,7.93,103.49,0.31,0.10,0.56,3.53,0.97
Image805,0,16.25,991.39,31.49,0.10,2.38,6.07,84.43,0.28,0.08,0.55,3.48,0.98
Image806,1,12.25,1198.24,34.62,0.01,3.47,13.02,94.59,0.06,0.00,0.42,4.01,0.97
Image807,1,4.85,573.29,23.94,0.03,5.32,29.25,155.38,0.14,0.02,0.46,4.15,0.97
Image808,1,1.51,185.68,13.63,0.00,9.42,90.86,53.90,0.06,0.00,0.33,4.60,0.95
Image809,0,2.92,185.72,13.63,0.14,4.89,24.09,190.91,0.34,0.11,0.64,4.01,0.91
Image810,0,8.27,840.07,28.98,0.09,3.82,14.82,194.20,0.26,0.07,0.54,4.64,0.97
Image811,0,9.88,979.44,31.30,0.13,3.54,12.86,161.46,0.32,0.10,0.57,4.27,0.97
Image812,1,17.56,1578.72,39.73,0.02,2.82,8.47,216.84,0.11,0.01,0.39,6.37,0.95
Image813,0,21.47,1479.01,38.46,0.05,2.21,5.10,169.03,0.20,0.04,0.50,4.72,0.96
Image814,0,17.87,1342.88,36.65,0.07,2.45,6.20,171.06,0.23,0.05,0.52,4.64,0.96
Image815,0,12.39,1006.04,31.72,0.07,2.93,8.80,204.71,0.24,0.06,0.51,5.34,0.95
Image816,0,4.95,456.21,21.36,0.19,4.65,22.12,294.98,0.39,0.16,0.58,6.14,0.94
Image817,0,5.10,265.16,16.28,0.24,3.68,14.11,55.43,0.45,0.20,0.69,2.22,0.97
Image818,0,9.32,445.76,21.11,0.12,2.80,8.40,89.09,0.31,0.10,0.58,3.39,0.96
Image819,0,15.04,631.20,25.12,0.10,2.15,5.09,65.87,0.27,0.08,0.55,3.30,0.97
Image820,1,4.63,550.72,23.47,0.00,5.76,35.38,131.60,0.03,0.00,0.28,6.67,0.96
Image821,1,8.54,1168.03,34.18,0.04,4.45,20.56,393.95,0.16,0.03,0.42,7.05,0.95
Image822,1,6.70,1043.62,32.31,0.04,5.30,29.21,527.33,0.16,0.03,0.38,9.09,0.95
Image823,1,6.91,855.10,29.24,0.04,5.49,33.70,513.48,0.18,0.03,0.40,9.59,0.94
Image824,1,0.47,87.77,9.37,0.04,21.03,457.24,3382.57,0.18,0.03,0.31,27.83,0.76
Image825,0,13.56,646.19,25.42,0.11,2.36,5.99,66.78,0.30,0.09,0.53,3.77,0.97
Image826,0,16.68,753.23,27.44,0.08,2.16,5.12,84.10,0.25,0.06,0.49,4.36,0.96
Image827,1,5.03,713.63,26.71,0.02,5.88,36.33,303.94,0.13,0.02,0.33,8.66,0.96
Image828,0,1.86,97.04,9.85,0.24,6.06,39.51,106.57,0.45,0.20,0.59,4.33,0.93
Image829,0,5.57,301.69,17.37,0.25,3.55,13.12,62.87,0.46,0.21,0.66,2.71,0.97
Image830,0,9.16,463.93,21.54,0.18,2.79,8.26,57.60,0.38,0.15,0.61,2.94,0.97
Image831,0,12.02,559.18,23.65,0.11,2.47,6.61,62.53,0.30,0.09,0.56,3.41,0.97
Image832,1,1.75,150.17,12.25,0.00,7.56,60.83,142.69,0.06,0.00,0.33,5.95,0.86
Image833,0,1.05,53.87,7.34,0.30,7.83,65.79,105.42,0.51,0.26,0.65,3.90,0.92
Image834,0,6.24,288.94,17.00,0.22,3.30,12.11,63.38,0.43,0.18,0.66,2.64,0.96
Image835,0,9.53,365.14,19.11,0.13,2.51,6.89,45.67,0.32,0.10,0.59,2.70,0.97
Image836,0,12.58,448.96,21.19,0.10,2.18,5.32,53.51,0.28,0.08,0.55,3.23,0.96
Image837,0,3.60,187.92,13.71,0.26,4.21,18.30,36.63,0.47,0.22,0.73,1.83,0.98
Image838,0,4.88,231.80,15.22,0.25,3.63,14.07,54.33,0.46,0.21,0.69,2.39,0.97
Image839,0,5.30,438.25,20.93,0.14,4.36,19.58,137.13,0.34,0.11,0.57,4.34,0.97
Image840,1,9.49,1213.63,34.84,0.01,4.22,18.68,129.78,0.07,0.00,0.30,6.73,0.98
Image841,1,8.94,669.76,25.88,0.01,3.51,13.78,77.09,0.07,0.01,0.43,3.81,0.94
Image842,0,9.37,579.39,24.07,0.11,2.90,8.56,146.72,0.30,0.09,0.59,3.63,0.94
Image843,0,4.56,321.39,17.93,0.15,4.22,18.02,231.11,0.35,0.12,0.59,4.92,0.92
Image844,0,3.86,245.25,15.66,0.11,4.40,19.68,65.32,0.30,0.09,0.59,2.89,0.97
Image845,0,5.15,333.05,18.25,0.26,3.85,15.07,55.19,0.47,0.22,0.70,2.28,0.98
Image846,0,11.32,575.07,23.98,0.07,2.51,6.49,78.39,0.23,0.05,0.56,3.10,0.96
Image847,0,7.33,415.57,20.39,0.09,3.12,9.95,106.50,0.27,0.07,0.57,3.66,0.95
Image848,0,2.42,159.24,12.62,0.19,5.52,30.95,236.84,0.39,0.15,0.61,5.49,0.90
Image849,0,4.51,268.73,16.39,0.14,4.17,18.23,71.07,0.33,0.11,0.62,3.11,0.97
Image850,0,6.86,359.05,18.95,0.21,3.29,11.47,66.74,0.42,0.17,0.67,2.66,0.97
Image851,0,9.81,439.45,20.96,0.11,2.77,8.27,44.64,0.30,0.09,0.58,2.86,0.98
Image852,0,15.48,680.76,26.09,0.05,2.17,5.03,111.18,0.20,0.04,0.54,4.01,0.94
Image853,0,10.68,536.31,23.16,0.07,2.59,6.94,105.50,0.23,0.05,0.56,3.67,0.94
Image854,0,1.63,111.59,10.56,0.18,6.78,46.60,269.36,0.38,0.15,0.64,5.67,0.89
Image855,0,11.54,495.77,22.27,0.09,2.33,5.70,49.73,0.26,0.07,0.57,2.70,0.97
Image856,0,8.20,383.90,19.59,0.09,2.78,8.01,71.67,0.26,0.07,0.56,3.11,0.95
Image857,0,3.85,206.17,14.36,0.20,4.09,17.23,119.10,0.41,0.17,0.64,3.64,0.93
Image858,0,5.05,315.76,17.77,0.11,3.85,15.05,63.63,0.30,0.09,0.57,3.04,0.97
Image859,0,6.71,399.74,19.99,0.23,3.43,12.34,75.44,0.44,0.19,0.64,3.03,0.97
Image860,1,7.30,1022.75,31.98,0.00,5.03,26.71,192.26,0.04,0.00,0.27,8.09,0.97
Image861,0,14.80,653.50,25.56,0.06,2.15,4.84,76.06,0.20,0.04,0.53,3.06,0.95
Image862,0,11.65,551.72,23.49,0.06,2.41,6.01,84.04,0.22,0.05,0.54,3.17,0.95
Image863,0,7.67,401.92,20.05,0.05,2.97,8.96,93.21,0.20,0.04,0.52,3.52,0.94
Image864,0,2.35,147.49,12.14,0.20,5.43,29.84,189.55,0.40,0.16,0.62,4.72,0.92
Image865,0,4.40,362.56,19.04,0.11,4.81,23.93,114.99,0.29,0.08,0.53,4.62,0.97
Image866,0,7.07,640.40,25.31,0.11,4.01,16.63,147.72,0.29,0.09,0.54,4.50,0.97
Image867,1,16.94,1756.41,41.91,0.01,3.04,9.65,250.81,0.06,0.00,0.39,6.42,0.95
Image868,1,4.94,641.50,25.33,0.01,5.55,31.92,202.56,0.06,0.00,0.36,6.28,0.94
Image869,1,1.58,223.55,14.95,0.01,9.89,100.20,379.96,0.10,0.01,0.36,6.86,0.92
Image870,1,2.42,271.57,16.48,0.01,7.11,51.46,223.60,0.09,0.01,0.39,5.90,0.91
Image871,0,3.91,250.47,15.83,0.09,4.45,20.30,51.14,0.27,0.07,0.59,2.90,0.98
Image872,0,5.71,353.15,18.79,0.24,3.68,13.96,42.65,0.45,0.20,0.70,2.19,0.98
Image873,0,9.25,520.36,22.81,0.17,2.92,8.95,52.62,0.37,0.13,0.62,2.76,0.98
Image874,0,14.77,806.30,28.40,0.10,2.33,5.70,70.14,0.28,0.08,0.60,3.00,0.98
Image875,0,9.54,527.90,22.98,0.13,2.79,8.06,98.73,0.32,0.10,0.63,3.45,0.96
Image876,0,4.14,234.24,15.30,0.12,4.10,17.24,119.62,0.31,0.10,0.59,4.28,0.94
Image877,0,7.68,738.06,27.17,0.11,4.01,16.44,203.48,0.30,0.09,0.55,5.08,0.97
Image878,1,9.75,976.56,31.25,0.00,3.67,13.87,201.76,0.05,0.00,0.34,6.96,0.92
Image879,0,3.49,178.24,13.35,0.16,4.37,19.86,43.36,0.36,0.13,0.59,2.93,0.97
Image880,0,5.20,235.50,15.35,0.12,3.47,12.57,39.49,0.30,0.09,0.56,2.93,0.97
Image881,0,6.53,294.28,17.15,0.10,3.22,11.01,59.52,0.29,0.08,0.55,3.45,0.96
Image882,0,9.26,408.99,20.22,0.06,2.69,7.61,74.10,0.22,0.05,0.53,3.68,0.95
Image883,0,6.63,316.74,17.80,0.07,3.19,10.69,92.15,0.23,0.05,0.51,4.36,0.94
Image884,0,2.43,113.36,10.65,0.13,4.94,25.16,32.04,0.33,0.11,0.61,2.45,0.98
Image885,0,3.05,123.90,11.13,0.24,4.16,17.86,22.58,0.45,0.20,0.69,1.86,0.98
Image886,0,5.17,208.83,14.45,0.17,3.27,11.11,32.34,0.37,0.14,0.63,2.33,0.97
Image887,0,7.69,277.82,16.67,0.11,2.62,7.21,27.12,0.29,0.08,0.59,2.36,0.98
Image888,0,8.49,271.40,16.47,0.12,2.42,6.31,26.72,0.30,0.09,0.60,2.34,0.97
Image889,0,1.07,56.34,7.51,0.19,7.32,54.46,129.99,0.40,0.16,0.63,4.01,0.91
Image890,0,4.96,386.51,19.66,0.11,4.35,19.29,62.50,0.29,0.08,0.55,3.44,0.98
Image891,1,28.18,2026.65,45.02,0.08,2.12,5.06,107.46,0.24,0.06,0.48,4.56,0.98
Image892,1,32.06,2380.32,48.79,0.02,2.14,5.05,107.57,0.13,0.02,0.43,4.76,0.98
Image893,0,21.57,1642.69,40.53,0.09,2.30,5.56,84.47,0.26,0.07,0.56,3.78,0.98
Image894,0,15.99,1381.30,37.17,0.09,2.73,7.68,99.15,0.27,0.07,0.54,4.32,0.98
Image895,0,8.86,835.15,28.90,0.10,3.70,14.04,92.57,0.27,0.08,0.52,4.61,0.98
Image896,0,7.85,261.92,16.18,0.12,2.45,6.30,45.15,0.31,0.09,0.63,2.29,0.95
Image897,1,16.04,1831.29,42.79,0.01,3.11,10.02,126.27,0.07,0.01,0.43,4.50,0.96
Image898,1,27.78,2514.01,50.14,0.03,2.28,5.45,178.21,0.14,0.02,0.50,4.17,0.97
Image899,1,17.53,1881.04,43.37,0.02,2.90,8.67,153.21,0.11,0.01,0.47,4.34,0.96
Image900,1,3.58,462.33,21.50,0.00,6.30,40.45,91.44,0.05,0.00,0.32,5.07,0.95
Image901,0,8.86,798.39,28.26,0.29,3.51,12.67,143.05,0.49,0.24,0.73,3.03,0.97
Image902,0,4.91,388.38,19.71,0.11,4.54,21.63,246.23,0.30,0.09,0.49,6.31,0.93
Image903,0,6.00,339.26,18.42,0.23,3.54,13.04,28.17,0.44,0.19,0.70,1.86,0.99
Image904,0,9.77,442.35,21.03,0.13,2.65,7.46,31.19,0.32,0.10,0.62,2.18,0.98
Image905,0,13.04,572.76,23.93,0.09,2.28,5.50,40.44,0.26,0.07,0.60,2.46,0.98
Image906,1,16.69,801.16,28.30,0.03,2.30,5.79,50.02,0.15,0.02,0.54,2.82,0.97
Image907,1,14.02,734.61,27.10,0.04,2.56,7.17,66.90,0.17,0.03,0.53,3.30,0.97
Image908,1,2.24,229.28,15.14,0.02,7.22,53.89,185.75,0.12,0.01,0.38,5.63,0.94
Image909,0,0.35,17.91,4.23,0.24,13.81,205.87,198.05,0.45,0.20,0.62,5.07,0.85
Image910,0,7.05,497.21,22.30,0.32,3.51,12.77,67.97,0.52,0.27,0.71,2.41,0.98
Image911,0,15.95,838.37,28.95,0.12,2.23,5.39,93.33,0.30,0.09,0.54,4.01,0.97
Image912,1,8.91,694.80,26.36,0.00,3.98,18.10,199.08,0.03,0.00,0.31,7.42,0.93
Image913,1,5.58,674.19,25.97,0.00,5.44,31.86,118.87,0.03,0.00,0.27,6.80,0.97
Image914,0,4.07,273.51,16.54,0.11,4.76,23.93,70.31,0.29,0.09,0.54,3.76,0.97
Image915,0,6.74,416.85,20.42,0.22,3.54,13.15,76.27,0.43,0.18,0.64,3.07,0.97
Image916,0,10.03,573.48,23.95,0.14,2.92,8.97,68.59,0.34,0.11,0.60,3.29,0.98
Image917,0,12.99,680.91,26.09,0.12,2.49,6.62,75.92,0.30,0.09,0.55,3.75,0.97
Image918,1,3.50,282.75,16.82,0.01,6.28,43.89,202.07,0.08,0.01,0.37,6.40,0.95
Image919,0,6.79,463.00,21.52,0.32,3.56,13.20,52.57,0.52,0.27,0.70,2.26,0.98
Image920,0,12.64,841.68,29.01,0.20,2.78,8.40,120.56,0.40,0.16,0.60,3.92,0.97
Image921,1,15.57,1532.20,39.14,0.00,3.30,11.71,174.42,0.03,0.00,0.28,7.59,0.97
Image922,1,15.76,1793.23,42.35,0.00,3.32,11.72,160.52,0.04,0.00,0.27,7.35,0.96
Image923,1,7.52,1046.87,32.36,0.00,4.80,23.95,88.75,0.03,0.00,0.25,5.98,0.97
Image924,0,4.92,356.87,18.89,0.11,4.27,18.69,63.03,0.30,0.09,0.54,3.68,0.98
Image925,0,6.57,458.90,21.42,0.23,3.65,13.73,69.29,0.44,0.19,0.64,3.06,0.98
Image926,1,2.12,311.27,17.64,0.00,8.83,80.67,133.93,0.04,0.00,0.22,7.98,0.94
Image927,0,13.60,858.53,29.30,0.08,2.69,7.69,111.28,0.26,0.07,0.48,4.87,0.97
Image928,0,8.52,591.14,24.31,0.09,3.38,11.97,159.89,0.26,0.07,0.46,5.82,0.95
Image929,0,2.28,160.77,12.68,0.26,6.28,41.57,189.98,0.47,0.22,0.59,5.75,0.93
Image930,0,4.02,262.75,16.21,0.09,4.71,23.43,56.44,0.27,0.07,0.51,3.46,0.98
Image931,0,6.44,438.31,20.94,0.24,3.68,13.94,57.24,0.45,0.20,0.68,2.61,0.98
Image932,0,8.97,540.38,23.25,0.15,3.16,10.48,86.80,0.35,0.12,0.63,3.18,0.97
Image933,0,8.42,557.19,23.60,0.25,3.33,11.91,74.52,0.46,0.21,0.64,3.32,0.98
Image934,0,17.10,862.84,29.37,0.13,2.14,5.08,69.71,0.32,0.11,0.55,3.85,0.98
Image935,0,4.80,334.33,18.28,0.14,4.55,22.41,107.97,0.33,0.11,0.58,3.88,0.97
Image936,0,7.30,444.75,21.09,0.21,3.49,13.02,83.90,0.42,0.17,0.66,3.03,0.97
Image937,0,1.61,105.81,10.29,0.18,6.62,44.14,269.53,0.39,0.15,0.69,5.18,0.88
Image938,0,6.84,470.86,21.70,0.28,3.65,13.92,68.08,0.49,0.24,0.67,2.82,0.98
Image939,0,16.66,779.62,27.92,0.06,2.14,4.95,96.56,0.21,0.04,0.55,3.92,0.96
Image940,0,12.02,601.29,24.52,0.08,2.50,6.52,93.05,0.25,0.06,0.56,3.96,0.96
Image941,0,8.03,430.16,20.74,0.09,3.07,9.73,104.82,0.26,0.07,0.55,4.53,0.95
Image942,0,4.28,244.07,15.62,0.11,4.23,18.58,152.02,0.30,0.09,0.52,5.58,0.93
Image943,0,0.09,3.34,1.83,0.25,22.07,518.47,161.86,0.46,0.21,0.59,5.50,0.75
Image944,0,6.10,466.88,21.61,0.09,3.96,16.14,115.31,0.27,0.07,0.56,3.55,0.97
Image945,0,7.45,523.78,22.89,0.20,3.44,12.17,76.90,0.40,0.16,0.68,2.45,0.98
Image946,1,15.78,1557.89,39.47,0.00,3.52,14.06,96.04,0.04,0.00,0.35,5.24,0.98
Image947,0,11.55,524.05,22.89,0.07,2.37,5.82,66.05,0.23,0.05,0.63,2.49,0.96
Image948,0,6.68,323.72,17.99,0.09,3.04,9.42,62.87,0.26,0.07,0.63,2.40,0.96
Image949,0,7.21,628.59,25.07,0.11,3.76,14.27,191.92,0.30,0.09,0.64,3.35,0.96
Image950,0,6.92,443.85,21.07,0.22,3.56,13.29,79.37,0.43,0.18,0.65,3.10,0.97
Image951,0,10.37,620.10,24.90,0.14,2.93,9.03,73.27,0.34,0.11,0.59,3.35,0.98
Image952,0,13.51,738.02,27.17,0.12,2.47,6.47,80.49,0.30,0.09,0.55,3.79,0.97
Image953,0,17.39,882.67,29.71,0.11,2.19,5.32,100.70,0.30,0.09,0.54,4.22,0.97
Image954,0,6.08,358.43,18.93,0.26,3.55,13.13,57.26,0.47,0.22,0.68,2.31,0.98
Image955,1,12.37,1483.41,38.52,0.01,3.77,15.12,266.05,0.08,0.01,0.36,6.87,0.96
Image956,1,12.99,1610.55,40.13,0.00,3.69,14.39,72.48,0.04,0.00,0.34,4.92,0.98
Image957,1,4.10,469.79,21.67,0.04,5.91,37.27,224.68,0.17,0.03,0.38,6.22,0.96
Image958,0,5.77,485.18,22.03,0.10,4.12,17.17,138.97,0.28,0.08,0.57,4.00,0.96
Image959,0,20.94,1123.71,33.52,0.06,2.11,4.82,162.67,0.22,0.05,0.50,5.16,0.95
Image960,0,20.95,1224.25,34.99,0.07,2.11,4.73,158.91,0.22,0.05,0.49,5.08,0.95
Image961,0,17.09,1117.56,33.43,0.08,2.37,5.89,161.03,0.25,0.06,0.50,5.05,0.96
Image962,0,12.00,868.90,29.48,0.09,2.88,8.63,223.72,0.27,0.07,0.49,6.52,0.94
Image963,0,4.61,357.57,18.91,0.11,4.69,22.95,231.77,0.30,0.09,0.50,6.81,0.94
Image964,0,4.07,273.51,16.54,0.11,4.76,23.93,70.31,0.29,0.09,0.54,3.76,0.97
Image965,0,6.74,416.85,20.42,0.22,3.54,13.15,76.27,0.43,0.18,0.64,3.07,0.97
Image966,0,10.03,573.48,23.95,0.14,2.92,8.97,68.59,0.34,0.11,0.60,3.29,0.98
Image967,0,12.99,680.91,26.09,0.12,2.49,6.62,75.92,0.30,0.09,0.55,3.75,0.97
Image968,1,3.50,282.75,16.82,0.01,6.28,43.89,202.07,0.08,0.01,0.37,6.40,0.95
Image969,0,6.79,463.00,21.52,0.32,3.56,13.20,52.57,0.52,0.27,0.70,2.26,0.98
Image970,0,12.64,841.68,29.01,0.20,2.78,8.40,120.56,0.40,0.16,0.60,3.92,0.97
Image971,1,15.57,1532.20,39.14,0.00,3.30,11.71,174.42,0.03,0.00,0.28,7.59,0.97
Image972,1,15.76,1793.23,42.35,0.00,3.32,11.72,160.52,0.04,0.00,0.27,7.35,0.96
Image973,1,7.52,1046.87,32.36,0.00,4.80,23.95,88.75,0.03,0.00,0.25,5.98,0.97
Image974,0,4.92,356.87,18.89,0.11,4.27,18.69,63.03,0.30,0.09,0.54,3.68,0.98
Image975,0,6.57,458.90,21.42,0.23,3.65,13.73,69.29,0.44,0.19,0.64,3.06,0.98
Image976,1,2.12,311.27,17.64,0.00,8.83,80.67,133.93,0.04,0.00,0.22,7.98,0.94
Image977,0,13.60,858.53,29.30,0.08,2.69,7.69,111.28,0.26,0.07,0.48,4.87,0.97
Image978,0,8.52,591.14,24.31,0.09,3.38,11.97,159.89,0.26,0.07,0.46,5.82,0.95
Image979,0,2.28,160.77,12.68,0.26,6.28,41.57,189.98,0.47,0.22,0.59,5.75,0.93
Image980,0,4.02,262.75,16.21,0.09,4.71,23.43,56.44,0.27,0.07,0.51,3.46,0.98
Image981,0,6.44,438.31,20.94,0.24,3.68,13.94,57.24,0.45,0.20,0.68,2.61,0.98
Image982,0,8.97,540.38,23.25,0.15,3.16,10.48,86.80,0.35,0.12,0.63,3.18,0.97
Image983,0,8.42,557.19,23.60,0.25,3.33,11.91,74.52,0.46,0.21,0.64,3.32,0.98
Image984,0,17.10,862.84,29.37,0.13,2.14,5.08,69.71,0.32,0.11,0.55,3.85,0.98
Image985,0,4.80,334.33,18.28,0.14,4.55,22.41,107.97,0.33,0.11,0.58,3.88,0.97
Image986,0,7.30,444.75,21.09,0.21,3.49,13.02,83.90,0.42,0.17,0.66,3.03,0.97
Image987,0,1.61,105.81,10.29,0.18,6.62,44.14,269.53,0.39,0.15,0.69,5.18,0.88
Image988,0,6.84,470.86,21.70,0.28,3.65,13.92,68.08,0.49,0.24,0.67,2.82,0.98
Image989,0,16.66,779.62,27.92,0.06,2.14,4.95,96.56,0.21,0.04,0.55,3.92,0.96
Image990,0,12.02,601.29,24.52,0.08,2.50,6.52,93.05,0.25,0.06,0.56,3.96,0.96
Image991,0,8.03,430.16,20.74,0.09,3.07,9.73,104.82,0.26,0.07,0.55,4.53,0.95
Image992,0,4.28,244.07,15.62,0.11,4.23,18.58,152.02,0.30,0.09,0.52,5.58,0.93
Image993,0,0.09,3.34,1.83,0.25,22.07,518.47,161.86,0.46,0.21,0.59,5.50,0.75
Image994,0,6.10,466.88,21.61,0.09,3.96,16.14,115.31,0.27,0.07,0.56,3.55,0.97
Image995,0,7.45,523.78,22.89,0.20,3.44,12.17,76.90,0.40,0.16,0.68,2.45,0.98
Image996,1,15.78,1557.89,39.47,0.00,3.52,14.06,96.04,0.04,0.00,0.35,5.24,0.98
Image997,0,11.55,524.05,22.89,0.07,2.37,5.82,66.05,0.23,0.05,0.63,2.49,0.96
Image998,0,6.68,323.72,17.99,0.09,3.04,9.42,62.87,0.26,0.07,0.63,2.40,0.96
Image999,0,7.21,628.59,25.07,0.11,3.76,14.27,191.92,0.30,0.09,0.64,3.35,0.96
Image1000,0,6.92,443.85,21.07,0.22,3.56,13.29,79.37,0.43,0.18,0.65,3.10,0.97
Image1001,0,10.37,620.10,24.90,0.14,2.93,9.03,73.27,0.34,0.11,0.59,3.35,0.98
Image1002,0,13.51,738.02,27.17,0.12,2.47,6.47,80.49,0.30,0.09,0.55,3.79,0.97
Image1003,0,17.39,882.67,29.71,0.11,2.19,5.32,100.70,0.30,0.09,0.54,4.22,0.97
Image1004,0,6.08,358.43,18.93,0.26,3.55,13.13,57.26,0.47,0.22,0.68,2.31,0.98
Image1005,1,12.37,1483.41,38.52,0.01,3.77,15.12,266.05,0.08,0.01,0.36,6.87,0.96
Image1006,1,12.99,1610.55,40.13,0.00,3.69,14.39,72.48,0.04,0.00,0.34,4.92,0.98
Image1007,1,4.10,469.79,21.67,0.04,5.91,37.27,224.68,0.17,0.03,0.38,6.22,0.96
Image1008,0,5.77,485.18,22.03,0.10,4.12,17.17,138.97,0.28,0.08,0.57,4.00,0.96
Image1009,0,20.94,1123.71,33.52,0.06,2.11,4.82,162.67,0.22,0.05,0.50,5.16,0.95
Image1010,0,20.95,1224.25,34.99,0.07,2.11,4.73,158.91,0.22,0.05,0.49,5.08,0.95
Image1011,0,17.09,1117.56,33.43,0.08,2.37,5.89,161.03,0.25,0.06,0.50,5.05,0.96
Image1012,0,12.00,868.90,29.48,0.09,2.88,8.63,223.72,0.27,0.07,0.49,6.52,0.94
Image1013,0,4.61,357.57,18.91,0.11,4.69,22.95,231.77,0.30,0.09,0.50,6.81,0.94
Image1014,0,17.10,862.84,29.37,0.13,2.14,5.08,69.71,0.32,0.11,0.55,3.85,0.98
Image1015,0,16.66,779.62,27.92,0.06,2.14,4.95,96.56,0.21,0.04,0.55,3.92,0.96
Image1016,0,12.02,601.29,24.52,0.08,2.50,6.52,93.05,0.25,0.06,0.56,3.96,0.96
Image1017,0,8.03,430.16,20.74,0.09,3.07,9.73,104.82,0.26,0.07,0.55,4.53,0.95
Image1018,1,15.78,1557.89,39.47,0.00,3.52,14.06,96.04,0.04,0.00,0.35,5.24,0.98
Image1019,0,10.37,620.10,24.90,0.14,2.93,9.03,73.27,0.34,0.11,0.59,3.35,0.98
Image1020,0,13.51,738.02,27.17,0.12,2.47,6.47,80.49,0.30,0.09,0.55,3.79,0.97
Image1021,0,17.39,882.67,29.71,0.11,2.19,5.32,100.70,0.30,0.09,0.54,4.22,0.97
Image1022,1,12.37,1483.41,38.52,0.01,3.77,15.12,266.05,0.08,0.01,0.36,6.87,0.96
Image1023,1,12.99,1610.55,40.13,0.00,3.69,14.39,72.48,0.04,0.00,0.34,4.92,0.98
Image1024,0,20.94,1123.71,33.52,0.06,2.11,4.82,162.67,0.22,0.05,0.50,5.16,0.95
Image1025,0,20.95,1224.25,34.99,0.07,2.11,4.73,158.91,0.22,0.05,0.49,5.08,0.95
Image1026,0,17.09,1117.56,33.43,0.08,2.37,5.89,161.03,0.25,0.06,0.50,5.05,0.96
Image1027,1,7.66,1202.58,34.68,0.00,4.97,25.44,89.57,0.03,0.00,0.26,6.13,0.98
Image1028,0,27.89,2051.30,45.29,0.06,2.10,4.78,148.79,0.22,0.05,0.48,5.72,0.98
Image1029,0,19.00,1590.03,39.88,0.09,2.59,7.02,127.74,0.26,0.07,0.50,5.51,0.98
Image1030,0,13.32,1244.71,35.28,0.12,3.12,10.10,150.16,0.31,0.09,0.50,6.07,0.98
Image1031,1,5.96,956.95,30.93,0.00,5.62,32.66,93.28,0.03,0.00,0.23,6.31,0.97
Image1032,0,17.45,1512.92,38.90,0.10,2.70,7.61,141.26,0.28,0.08,0.50,5.85,0.98
Image1033,0,10.96,1067.06,32.67,0.11,3.48,12.52,159.18,0.29,0.09,0.48,6.56,0.98
Image1034,0,8.89,702.27,26.50,0.21,3.43,12.37,110.52,0.41,0.17,0.60,4.26,0.98
Image1035,0,13.92,992.74,31.51,0.12,2.73,7.82,101.30,0.30,0.09,0.53,4.56,0.98
Image1036,0,16.67,1085.07,32.94,0.14,2.38,6.04,95.41,0.34,0.11,0.57,4.01,0.98
Image1037,0,20.60,1174.13,34.27,0.09,2.08,4.72,95.97,0.26,0.07,0.52,4.03,0.97
Image1038,0,21.60,1171.80,34.23,0.07,2.02,4.41,98.39,0.23,0.05,0.52,3.96,0.97
Image1039,1,4.61,649.14,25.48,0.00,5.90,35.73,83.84,0.04,0.00,0.28,5.72,0.96
Image1040,1,9.37,1183.38,34.40,0.00,4.13,17.67,53.76,0.04,0.00,0.39,4.07,0.98
Image1041,0,10.24,803.31,28.34,0.17,3.21,10.76,118.58,0.37,0.14,0.56,4.57,0.97
Image1042,0,14.92,1027.54,32.06,0.11,2.60,7.08,92.64,0.29,0.08,0.53,4.37,0.98
Image1043,0,18.41,1134.22,33.68,0.11,2.25,5.41,100.04,0.29,0.08,0.53,4.28,0.97
Image1044,0,21.12,1184.32,34.41,0.07,2.07,4.67,104.75,0.24,0.06,0.51,4.26,0.97
Image1045,1,9.71,1185.71,34.43,0.00,4.01,16.62,61.71,0.04,0.00,0.37,4.48,0.97
Image1046,1,2.42,364.66,19.10,0.00,8.46,74.54,57.47,0.04,0.00,0.27,5.27,0.98
Image1047,1,5.31,759.37,27.56,0.00,5.61,32.56,134.48,0.04,0.00,0.35,4.76,0.93
Image1048,1,14.55,1141.67,33.79,0.01,3.02,10.23,109.04,0.09,0.01,0.47,3.55,0.96
Image1049,0,5.46,324.61,18.02,0.09,3.62,13.30,144.82,0.26,0.07,0.60,3.83,0.93
Image1050,0,18.49,1144.10,33.82,0.10,2.25,5.43,114.42,0.29,0.08,0.55,3.60,0.97
Image1051,1,12.43,1141.38,33.78,0.00,3.57,14.30,118.86,0.04,0.00,0.37,5.07,0.96
Image1052,1,9.89,884.69,29.74,0.01,3.64,14.51,132.65,0.08,0.01,0.47,3.82,0.95
Image1053,0,3.59,216.03,14.70,0.11,4.39,19.58,155.40,0.29,0.09,0.60,4.09,0.92
Image1054,0,13.54,795.52,28.20,0.10,2.73,8.24,106.67,0.27,0.07,0.51,4.58,0.97
Image1055,1,1.64,201.48,14.19,0.00,9.18,86.96,133.71,0.04,0.00,0.22,7.26,0.92
Image1056,1,3.38,420.05,20.50,0.00,6.47,43.11,62.40,0.04,0.00,0.33,4.93,0.97
